KnEx,2022-08-29,google-hangouts,but that'd a terrible reason to say a place is better than another place to someone who has absolutely no memories of either
KnEx,2022-08-29,google-hangouts,forgot to say this yesterday
Anthos,2022-08-29,google-hangouts,maybe all the scuffed goodness got painted over
Anthos,2022-08-29,google-hangouts,^^
its_ash,2022-08-29,google-hangouts,It was ok
kp,2022-08-29,google-hangouts,the memories☹️
KnEx,2022-08-29,google-hangouts,what is so special about it
KnEx,2022-08-29,google-hangouts,oh yeah def hyped it up too much lol
CNsquared,2022-08-29,google-hangouts,nice
kp,2022-08-29,google-hangouts,I can drive lol
Anthos,2022-08-29,google-hangouts,wait who is driving on friday
Anthos,2022-08-29,google-hangouts,haha no one’s opinion matters except ours
kp,2022-08-29,google-hangouts,Which doesn’t matter because Sam and I are getting it tomorrow anyways but still
kp,2022-08-29,google-hangouts,Did we hype it up too much… <@280096466654199812>
CNsquared,2022-08-29,google-hangouts,READ IT ALL
Anthos,2022-08-29,google-hangouts,too many messages
Anthos,2022-08-29,google-hangouts,I didn’t bother reading through that
Anthos,2022-08-29,google-hangouts,oh lmao
CNsquared,2022-08-29,google-hangouts,https://discord.com/channels/401215339041652759/838295286903341117/1013649268810186864
Anthos,2022-08-29,google-hangouts,aah love noods
CNsquared,2022-08-29,google-hangouts,compared it to his hand
CNsquared,2022-08-29,google-hangouts,he sent noods
Anthos,2022-08-29,google-hangouts,??
CNsquared,2022-08-29,google-hangouts,he sent pics too
CNsquared,2022-08-29,google-hangouts,matts been flexing his size
CNsquared,2022-08-29,google-hangouts,they made it
Anthos,2022-08-29,google-hangouts,did you guys make it
Anthos,2022-08-29,google-hangouts,<@326545839138930698> <@280096466654199812> how was pho dublin?
Anthos,2022-08-26,google-hangouts,ty <@326545839138930698> for relaying info
Anthos,2022-08-26,google-hangouts,it was closed for so longgg
Anthos,2022-08-26,google-hangouts,I’m going to look at it
Anthos,2022-08-26,google-hangouts,ayo
kp,2022-08-26,google-hangouts,they made the menu bigger
Anthos,2022-08-26,google-hangouts,oh they updated their hours so now it actually shows that it’s open
Anthos,2022-08-26,google-hangouts,sure
Anthos,2022-08-26,google-hangouts,haha
kp,2022-08-26,google-hangouts,after pho dublin you guys can switch back
kp,2022-08-26,google-hangouts,LMAOOOO
Anthos,2022-08-26,google-hangouts,at least for pho dublin
Anthos,2022-08-26,google-hangouts,I am your bf now
Anthos,2022-08-26,google-hangouts,who needs eric
Anthos,2022-08-26,google-hangouts,YAYYYYY
kp,2022-08-26,google-hangouts,But they open nowwww
kp,2022-08-26,google-hangouts,They did to remodel for a bit
Anthos,2022-08-26,google-hangouts,istg they were closed
kp,2022-08-26,google-hangouts,Very down
Anthos,2022-08-26,google-hangouts,we going
Anthos,2022-08-26,google-hangouts,kait you and me
Anthos,2022-08-26,google-hangouts,huh?!
kp,2022-08-26,google-hangouts,LOL yeah I totally missed that message but they’re open
its_ash,2022-08-26,google-hangouts,I think it might be open
its_ash,2022-08-26,google-hangouts,
Hyru,2022-08-26,google-hangouts,The trolley
KnEx,2022-08-26,google-hangouts,maybe alex and Blake skate there
Laeloria,2022-08-26,google-hangouts,or you guys can bike
Laeloria,2022-08-26,google-hangouts,short walk
Anthos,2022-08-26,google-hangouts,yep
CNsquared,2022-08-26,google-hangouts,^
Laeloria,2022-08-26,google-hangouts,walk
Anthos,2022-08-26,google-hangouts,how we getting there
Anthos,2022-08-26,google-hangouts,ok so for next friday
CNsquared,2022-08-25,google-hangouts,"eric when he gets kids ""time to increase my kd"""
Hyru,2022-08-25,google-hangouts,10.0 kd
Anthos,2022-08-25,google-hangouts,lmfao kait the kid w 10 kids
CNsquared,2022-08-25,google-hangouts,Sure I mean w probs don't need that much time
CNsquared,2022-08-25,google-hangouts,Ye
Hyru,2022-08-25,google-hangouts,We confirmed fri then?
kp,2022-08-24,google-hangouts,you just gotta shrink
Laeloria,2022-08-24,google-hangouts,i am the kids
kp,2022-08-24,google-hangouts,So I’m down
kp,2022-08-24,google-hangouts,No one should be there bc kids are in school
lynne,2022-08-24,google-hangouts,Ya think that’s enough time?
its_ash,2022-08-24,google-hangouts,I mean we went on all the rides and finished pretty early
lynne,2022-08-24,google-hangouts,I can do Friday after 11
kp,2022-08-24,google-hangouts,Damn 5pm close
its_ash,2022-08-24,google-hangouts,
CNsquared,2022-08-24,google-hangouts,yeah lets do Friday
Laeloria,2022-08-24,google-hangouts,you guys should ask the same person to cover
kp,2022-08-24,google-hangouts,Bc Eric and I both got scheduled and we’d need to find covers
kp,2022-08-24,google-hangouts,If we’re going on Friday can we decide that now
kp,2022-08-24,google-hangouts,^^
Anthos,2022-08-24,google-hangouts,if we’re still tryna to to six flags next week what day works for everyone
KnEx,2022-08-23,google-hangouts,aight
CNsquared,2022-08-23,google-hangouts,I'm just doing hw today
KnEx,2022-08-23,google-hangouts,do you wanna like not get tacos and just hangout instead? or nah alr decided issa pass for today
CNsquared,2022-08-23,google-hangouts,nobody now? i think issa pass
Hyru,2022-08-23,google-hangouts,Who’s going lmao
CNsquared,2022-08-23,google-hangouts,WELL NOT GONNA SEEE YOU SO NO?
KnEx,2022-08-23,google-hangouts,SO ALEX DID YOU WANT YOUR OAT GINGER WINTERMELON OTHER THINGS DRINK OR NAH
Hyru,2022-08-23,google-hangouts,Nop lmao
KnEx,2022-08-23,google-hangouts,can you go now
KnEx,2022-08-23,google-hangouts,why
Hyru,2022-08-23,google-hangouts,Are y’all still gonna get tacos 😭
Anthos,2022-08-23,google-hangouts,
KnEx,2022-08-23,google-hangouts,it takes me like 40 minutes to get out that far
KnEx,2022-08-23,google-hangouts,wait the freeway is cap
CNsquared,2022-08-23,google-hangouts,
CNsquared,2022-08-23,google-hangouts,
KnEx,2022-08-23,google-hangouts,HONESTLY THAT WOULD BE SAME SPEED
CNsquared,2022-08-23,google-hangouts,THATA FAIRER
Laeloria,2022-08-23,google-hangouts,THEN WALK
CNsquared,2022-08-23,google-hangouts,THAT FAIR
KnEx,2022-08-23,google-hangouts,RUSH HOUR TRAFFIC IS ANNOYING
CNsquared,2022-08-23,google-hangouts,I HATE YOU
CNsquared,2022-08-23,google-hangouts,HKJSDHKHJLSDFPJ:
KnEx,2022-08-23,google-hangouts,BUT YOU KNOW WHAT I DONT REALLY CARE
KnEx,2022-08-23,google-hangouts,NOT TACOS I DONT REALLY WANNA
CNsquared,2022-08-23,google-hangouts,SO IG NOT
CNsquared,2022-08-23,google-hangouts,WELL YOU SAID YOU DIDN'T WANT TO
KnEx,2022-08-23,google-hangouts,ARE WE DOIN SMTHN TODAY
CNsquared,2022-08-23,google-hangouts,Uh maybe next Friday?
CNsquared,2022-08-23,google-hangouts,The point is as always quality bonding time
CNsquared,2022-08-23,google-hangouts,Foreal me too
CNsquared,2022-08-23,google-hangouts,I mean I have nothing to do
its_ash,2022-08-23,google-hangouts,Ye
Anthos,2022-08-23,google-hangouts,I'm still available if we are
kp,2022-08-23,google-hangouts,Are we or not going Friday
Anthos,2022-08-23,google-hangouts,"on a side note

is six flags on the table at all? (not necessarily this week)"
Anthos,2022-08-23,google-hangouts,lol request is not an option in aaron's mind
Laeloria,2022-08-23,google-hangouts,is that a command or statement
kp,2022-08-23,google-hangouts,Matt come
Laeloria,2022-08-23,google-hangouts,he is more powerful than you
Laeloria,2022-08-23,google-hangouts,no
Anthos,2022-08-23,google-hangouts,can I kill kyle
Laeloria,2022-08-23,google-hangouts,i dont think i ever went there
Hyru,2022-08-23,google-hangouts,<@399016350946820097> u going?
kp,2022-08-23,google-hangouts,Nom nom
Anthos,2022-08-23,google-hangouts,we can order a lot of food from sodam
Anthos,2022-08-23,google-hangouts,nom nom
Laeloria,2022-08-23,google-hangouts,go there with a shovel
Laeloria,2022-08-23,google-hangouts,cemetary
Anthos,2022-08-23,google-hangouts,ok we still need food options
Anthos,2022-08-23,google-hangouts,I wish we could go there😭
Hyru,2022-08-23,google-hangouts,same
kp,2022-08-23,google-hangouts,It’s so good
Laeloria,2022-08-23,google-hangouts,
Anthos,2022-08-23,google-hangouts,I love that place
Anthos,2022-08-23,google-hangouts,fuck eric's opinion
Anthos,2022-08-23,google-hangouts,I FINALLY KNOW WHICH ONE YOU ARE TALKING ABOUT
KnEx,2022-08-23,google-hangouts,bro i wish i still had nothing to do
Anthos,2022-08-23,google-hangouts,IK IT IS CLOSED
KnEx,2022-08-23,google-hangouts,why are you crying
Anthos,2022-08-23,google-hangouts,PHO DUBLIN
Anthos,2022-08-23,google-hangouts,OH WAIT SHIT KAIT
Laeloria,2022-08-23,google-hangouts,full tour of all the cemeteries around
Anthos,2022-08-23,google-hangouts,yep
Anthos,2022-08-23,google-hangouts,lmao
kp,2022-08-23,google-hangouts,I’m bored as shit
kp,2022-08-23,google-hangouts,Quarter system ppl crying rn
KnEx,2022-08-23,google-hangouts,maybe ill just do hw tmrw
Anthos,2022-08-23,google-hangouts,I mean I was planning on going to dublin if we didn't end up meeting tomorrow
kp,2022-08-23,google-hangouts,😀
KnEx,2022-08-23,google-hangouts,you two can have fun at the dublin graveyard lmao
Anthos,2022-08-23,google-hangouts,do I wanna know?
kp,2022-08-23,google-hangouts,I love the dublin graveyard
KnEx,2022-08-23,google-hangouts,huh
kp,2022-08-23,google-hangouts,
kp,2022-08-23,google-hangouts,we could go to the dublin graveyard
Anthos,2022-08-23,google-hangouts,ty kait
Anthos,2022-08-23,google-hangouts,I WAS GONNA SAY DUBLIN
kp,2022-08-23,google-hangouts,i did not spell that right
kp,2022-08-23,google-hangouts,Los pericos in Dublin has really good Mexican food
kp,2022-08-23,google-hangouts,Well
Anthos,2022-08-23,google-hangouts,but idk if he wants that
Anthos,2022-08-23,google-hangouts,im pretty sure alex can eat em
Anthos,2022-08-23,google-hangouts,that are cheap
Anthos,2022-08-23,google-hangouts,taco bell has other things too
KnEx,2022-08-23,google-hangouts,idk if hed wanna
KnEx,2022-08-23,google-hangouts,but idk if alex can even eat that lmfao
